('the',) : 188100
('creatures',) : 12
('johnstown',) : 12
('sebastian',) : 12
('nimbostratus',) : 12
('converging',) : 12
('fast-moving',) : 12
('tornadogenesis',) : 12
('emits',) : 12
('crashes',) : 12
('rushing',) : 12
('conceptual',) : 12
('390',) : 12
('furnace',) : 12
('essay',) : 12
('resign',) : 12
('composing',) : 12
('gutenberg',) : 12
('aeronautical',) : 12
('1978.',) : 12
('marched',) : 12
('withdrawal',) : 12
('conveyor',) : 12
('delivers',) : 12
('mixes',) : 12
('destroys',) : 12
('nagasaki',) : 12
('congo',) : 12
('sonic',) : 12
('signatures',) : 12
('nowhere',) : 12
('visibly',) : 12
('chasers',) : 12
('north-eastern',) : 12
('tyne',) : 12
('203',) : 12
('mcs',) : 12
('dies',) : 12
('177',) : 12
('balloons',) : 12
('hinduism',) : 12
('recognizes',) : 12
('promising',) : 12
('stresses',) : 12
('watersheds',) : 12
('219',) : 12
('contracting',) : 12
('laminar',) : 12
('1952.',) : 12
('234',) : 12
('collapsing',) : 12
('fracture',) : 12
('anomalously',) : 12
('reintensified',) : 12
('lorenz',) : 12
('whitefish',) : 12
('blackout',) : 12
('bertha',) : 12
('contend',) : 12
('manifest',) : 12
('datasets',) : 12
('resting',) : 12
('emerge',) : 12
('crater',) : 12
('1841',) : 12
('countryside',) : 12
('avalanches',) : 12
('airliner',) : 12
('1881',) : 12
('oncoming',) : 12
('fragile',) : 12
('emphasize',) : 12
('strengths',) : 12
('possessing',) : 12
('floodwater',) : 12
('interpret',) : 12
('buffer',) : 12
('planners',) : 12
('capped',) : 12
('alps',) : 12
('retention',) : 12
('plumbing',) : 12
('admissions',) : 12
('compressed',) : 12
('surrounds',) : 12
('directive',) : 12
('refineries',) : 12
('bypass',) : 12
('tone',) : 12
('coordinator',) : 12
('retrieved',) : 12
('2–3',) : 12
('1883',) : 12
('harness',) : 12
('ineffective',) : 12
('barometer',) : 12
('1808',) : 12
('1856',) : 12
('1832',) : 12
('1837',) : 12
('richardson',) : 12
('obstacles',) : 12
('weather-related',) : 12
('10.8',) : 12
('ibn',) : 12
('presenting',) : 12
('decimated',) : 12
('sails',) : 12
('frigate',) : 12
('factbook',) : 12
('jurassic',) : 12
('reconstructions',) : 12
('watched',) : 12
('precious',) : 12
('pelagic',) : 12
('manatee',) : 12
('malacca',) : 12
('171',) : 12
('salmon',) : 12
('circa',) : 12
('withdraw',) : 12
('sea-surface',) : 12
('2025',) : 12
('dissolution',) : 12
('tt',) : 12
('distillation',) : 12
('chlorine',) : 12
('catalyst',) : 12
('boiler',) : 12
('exchanger',) : 12
('excellence',) : 12
('photographic',) : 12
('nucleation',) : 12
('vapor–liquid',) : 12
('raoult',) : 12
('x2',) : 12
('cheaper',) : 12
('reliance',) : 12
('kwh',) : 12
('collector',) : 12
('modernization',) : 12
('excited',) : 12
('mv',) : 12
('generalized',) : 12
('exert',) : 12
('postulated',) : 12
('commute',) : 12
('mat',) : 12
('ecuador',) : 12
('spheroid',) : 12
('granite',) : 12
('9.2',) : 12
('deities',) : 12
('hooke',) : 12
('suggestion',) : 12
('inclined',) : 12
('191',) : 12
('viewer',) : 12
('plug',) : 12
('vibrations',) : 12
('coherent',) : 12
('subsistence',) : 12
('semi-major',) : 12
('equals',) : 12
('conformal',) : 12
('expedite',) : 12
('epidemics',) : 12
('marianas',) : 12
('sshws',) : 12
('six-hour',) : 12
('benito',) : 12
('petitioned',) : 12
('32nd',) : 12
('22nd',) : 12
('oscar',) : 12
('u.',) : 12
('pyramid',) : 12
('dimensional',) : 12
('brushing',) : 12
('stranding',) : 12
('precaution',) : 12
('chebi',) : 12
('ssts',) : 12
('1963.',) : 12
('calculus',) : 12
('1857',) : 12
('1847',) : 12
('lenses',) : 12
('formulas',) : 12
('near-infrared',) : 12
('hungary',) : 12
('13.5',) : 12
('bombings',) : 12
('activism',) : 12
('terrorism',) : 12
('accidentally',) : 12
('425',) : 12
('exclusion',) : 12
('convenience',) : 12
('1977.',) : 12
('26.6',) : 12
('tammany',) : 12
('900,000',) : 12
('relatives',) : 12
('hindered',) : 12
('unaccounted',) : 12
('memphis',) : 12
('dartmouth',) : 12
('logistical',) : 12
('zip',) : 12
('patents',) : 12
('rivera',) : 12
('pleas',) : 12
('disorder',) : 12
('corp',) : 12
('tyler',) : 12
('huntsville',) : 12
('fleeing',) : 12
('shreveport',) : 12
('natchez',) : 12
('switzerland',) : 12
('well-being',) : 12
('agenda',) : 12
('clips',) : 12
('educating',) : 12
('commissions',) : 12
('presides',) : 12
('treason',) : 12
('criminals',) : 12
('twenty-fifth',) : 12
('pertaining',) : 12
('seating',) : 12
('upgrading',) : 12
('par',) : 12
('believing',) : 12
('ali',) : 12
('conspiracy',) : 12
('potatoes',) : 12
('lowland',) : 12
('scandal',) : 12
('margarita',) : 12
('legitimate',) : 12
('remittances',) : 12
('spanned',) : 12
('transactions',) : 12
('semester',) : 12
('ballet',) : 12
('nationalities',) : 12
('acclaimed',) : 12
('shipyards',) : 12
('36,000',) : 12
('migrant',) : 12
('inherited',) : 12
('enjoys',) : 12
('self-determination',) : 12
('receipts',) : 12
('baptists',) : 12
('spanish-speaking',) : 12
('happy',) : 12
('estimations',) : 12
('humberto',) : 12
('174',) : 12
('verne',) : 12
('rode',) : 12
('michoacán',) : 12
('twenty-two',) : 12
('beating',) : 12
('sean',) : 12
('nas',) : 12
('640',) : 12
('dakar',) : 12
('redeveloped',) : 12
('flight-level',) : 12
('schaefer',) : 12
('wo',) : 12
('reclamation',) : 12
('1968.',) : 12
('confederates',) : 12
('sullivan',) : 12
('lloyd',) : 12
('fay',) : 12
('mainline',) : 12
('csx',) : 12
('theatres',) : 12
('stimulated',) : 12
('ordinances',) : 12
('202',) : 12
('a1a',) : 12
('council-manager',) : 12
('1793',) : 12
('airways',) : 12
('1956.',) : 12
('peabody',) : 12
('overwhelming',) : 12
('valves',) : 12
('peruvian',) : 12
('eutrophication',) : 12
('severn',) : 12
('lone',) : 12
('kit',) : 12
('inexpensive',) : 12
('domains',) : 12
('usafr',) : 12
('macdill',) : 12
('instructor',) : 12
('willy',) : 12
('appropriated',) : 12
('state-of-the-art',) : 12
('miniature',) : 12
('undercarriage',) : 12
('korolev',) : 12
('bopha',) : 12
('chuuk',) : 12
('stolen',) : 12
('damper',) : 12
('symbolic',) : 12
('steven',) : 12
('ferguson',) : 12
('transliteration',) : 12
('cairo',) : 12
('~',) : 12
('allophones',) : 12
('scripts',) : 12
('afghan',) : 12
('serpent',) : 12
('terrible',) : 12
('supportive',) : 12
('plagued',) : 12
('honored',) : 12
('judgement',) : 12
('inheritance',) : 12
('scholarship',) : 12
('bull',) : 12
('bilingual',) : 12
('creoles',) : 12
('verrazzano',) : 12
('canoes',) : 12
('sued',) : 12
('caste',) : 12
('vegas',) : 12
('costumes',) : 12
('westminster',) : 12
('1882',) : 12
('appealed',) : 12
('battleship',) : 12
('sizeable',) : 12
('engagements',) : 12
('144',) : 12
('2200',) : 12
('distress',) : 12
('alluvial',) : 12
('sundarbans',) : 12
('semi',) : 12
('disbanded',) : 12
('rodney',) : 12
('wreckage',) : 12
('itunes',) : 12
('1823',) : 12
('aztecs',) : 12
('hopewell',) : 12
('acadian',) : 12
('residency',) : 12
('10.3',) : 12
('choctaw',) : 12
('ojibwe',) : 12
('greenville',) : 12
('0900',) : 12
('mcdonnell',) : 12
('cuomo',) : 12
('mta',) : 12
('cays',) : 12
('180,000',) : 12
('gerald',) : 12
('third-highest',) : 12
('halsey',) : 12
('inventions',) : 12
('north-northeastward',) : 12
('remembered',) : 12
('collins',) : 12
('vallarta',) : 12
('ignacio',) : 12
('universidad',) : 12
('drownings',) : 12
('nara',) : 12
('edo',) : 12
('confucianism',) : 12
('pension',) : 12
('readership',) : 12
('flavor',) : 12
('armament',) : 12
('puritan',) : 12
('wampanoag',) : 12
('lexington',) : 12
('québec',) : 12
('lisa',) : 12
('wolf',) : 12
('east-northeastward',) : 12
('henlopen',) : 12
('entrepreneurship',) : 12
('yorkers',) : 12
('accelerator',) : 12
('licenses',) : 12
('punk',) : 12
('finances',) : 12
('1964.',) : 12
('cayes',) : 12
('hillary',) : 12
('fractionation',) : 12
('counters',) : 12
('blank',) : 12
('epochs',) : 12
('clearwater',) : 12
('marquette',) : 12
('profitable',) : 12
('patriot',) : 12
('overhaul',) : 12
('files',) : 12
('genome',) : 12
('nmfs',) : 12
('wfos',) : 12
('seller',) : 12
('hardcover',) : 12
('rodanthe',) : 12
('kramer',) : 12
('cheney',) : 12
('amateurs',) : 12
('emi',) : 12
('dixon',) : 12
('isbn-10',) : 12
('glen',) : 12
('custis',) : 12
('cruisers',) : 12
('mk',) : 12
('streaming',) : 12
('eurovision',) : 12
('bollinger',) : 12
('coached',) : 12
('bin',) : 12
('superhero',) : 12
('merlin',) : 12
('bogie',) : 12
('142',) : 12
('giardello',) : 12
('lowe',) : 12
('schuyler',) : 12
('horler',) : 12
('paw',) : 12
('guelph',) : 12
('kiel',) : 12
('juventud',) : 12
('henrico',) : 12
('baltimore-washington',) : 12
('fells',) : 12
('waccamaw',) : 12
('metrorail',) : 12
('mindelo',) : 12
('moses',) : 12
('orioles',) : 12
('wreaths',) : 12
('sarasota',) : 12
('taliban',) : 12
('cabezas',) : 12
('matecumbe',) : 12
('apsis',) : 12
('sts-107',) : 12
('tyurin',) : 12
('sts-135',) : 12
('priroda',) : 12
('inverters',) : 12
('imparted',) : 11
('continual',) : 11
('outwards',) : 11
('rob',) : 11
('fetch',) : 11
('acquires',) : 11
('cube',) : 11
('deflect',) : 11
('conceptually',) : 11
('inhibits',) : 11
('much-needed',) : 11
('regulating',) : 11
('wp-3d',) : 11
('paleotempestological',) : 11
('examining',) : 11
('28.5',) : 11
('simpsons',) : 11
('rides',) : 11
('375',) : 11
('trophy',) : 11
('watercraft',) : 11
('24.7',) : 11
('232',) : 11
('dredging',) : 11
('tma-2',) : 11
('sts-106',) : 11
('memorandum',) : 11
('staging',) : 11
('physician',) : 11
('on-orbit',) : 11
('curiosity',) : 11
('riley',) : 11
('soyuz-u',) : 11
('cupola',) : 11
('leonardo',) : 11
('khrunichev',) : 11
('ukrainian',) : 11
('berthed',) : 11
('nadir',) : 11
('deterioration',) : 11
('manifested',) : 11
('abandonment',) : 11
('impression',) : 11
('spices',) : 11
('adversely',) : 11
('30-year',) : 11
('intentional',) : 11
('non-military',) : 11
('vacated',) : 11
('spokesman',) : 11
('moments',) : 11
('lined',) : 11
('low-',) : 11
('piddington',) : 11
('quicker',) : 11
('ice-free',) : 11
('mid-ocean',) : 11
('lava',) : 11
('igneous',) : 11
('divergent',) : 11
('multicellular',) : 11
('meteorite',) : 11
('holocene',) : 11
('aquifers',) : 11
('preserves',) : 11
('healing',) : 11
('ferrel',) : 11
('influencing',) : 11
('helpful',) : 11
('socially',) : 11
('desertification',) : 11
('mongol',) : 11
('1983.',) : 11
('hottest',) : 11
('mitigated',) : 11
('1795',) : 11
('1100',) : 11
('1300',) : 11
('clocks',) : 11
('24.5',) : 11
('mid-november',) : 11
('observes',) : 11
('hexagonal',) : 11
('renewal',) : 11
('invade',) : 11
('canberra',) : 11
('racism',) : 11
('sweep',) : 11
('fahrenheit',) : 11
('egyptians',) : 11
('signifies',) : 11
('tajikistan',) : 11
('vibrant',) : 11
('thai',) : 11
('maximal',) : 11
('cf',) : 11
('contraction',) : 11
('grey',) : 11
('mlb',) : 11
('nutrient',) : 11
('instructions',) : 11
('acidification',) : 11
('trauma',) : 11
('oranges',) : 11
('keeper',) : 11
('ravaged',) : 11
('painters',) : 11
('1802',) : 11
('stratocumuliform',) : 11
('similarity',) : 11
('accessory',) : 11
('combinations',) : 11
('thicker',) : 11
('halos',) : 11
('pink',) : 11
('radiating',) : 11
('rain-cooled',) : 11
('backside',) : 11
('dying',) : 11
('dubious',) : 11
('recognizing',) : 11
('algeria',) : 11
('encyclopædia',) : 11
('burnt',) : 11
('govern',) : 11
('infinite',) : 11
('fills',) : 11
('albuquerque',) : 11
('sumatra',) : 11
('attribute',) : 11
('commanding',) : 11
('bomber',) : 11
('electrostatic',) : 11
('ic',) : 11
('runaway',) : 11
('stepped',) : 11
('appliances',) : 11
('poses',) : 11
('blitzkrieg',) : 11
('nato',) : 11
('deviate',) : 11
('indications',) : 11
('prolific',) : 11
('dumping',) : 11
('fe',) : 11
('packet',) : 11
('swirl',) : 11
('sacramento',) : 11
('bare',) : 11
('yolanda',) : 11
('45°',) : 11
('rigorous',) : 11
('rope',) : 11
('eddies',) : 11
('correlations',) : 11
('buckle',) : 11
('rockies',) : 11
('ambulance',) : 11
('230,000',) : 11
('7000',) : 11
('notions',) : 11
('importantly',) : 11
('eddy',) : 11
('lifecycle',) : 11
('aggregate',) : 11
('pipeline',) : 11
('offline',) : 11
('26.05',) : 11
('905',) : 11
('26.58',) : 11
('kossin',) : 11
('157',) : 11
('1910.',) : 11
('criterion',) : 11
('161',) : 11
('appalachians',) : 11
('sighted',) : 11
('saudi',) : 11
('ghost',) : 11
('kenya',) : 11
('acre',) : 11
('cleaned',) : 11
('glaze',) : 11
('snap',) : 11
('crawl',) : 11
('unsafe',) : 11
('rubles',) : 11
('obstructions',) : 11
('mist',) : 11
('raindrop',) : 11
('emitting',) : 11
('dominates',) : 11
('dataset',) : 11
('grape',) : 11
('tap',) : 11
('liter',) : 11
('pit',) : 11
('wax',) : 11
('wolves',) : 11
('wagons',) : 11
('genes',) : 11
('boris',) : 11
('assessing',) : 11
('shadows',) : 11
('competes',) : 11
('dress',) : 11
('hospitalized',) : 11
('attenuation',) : 11
('meandering',) : 11
('cyclical',) : 11
('shallower',) : 11
('fitzroy',) : 11
('rutherford',) : 11
('consulting',) : 11
('seals',) : 11
('nogaps',) : 11
('avocado',) : 11
('televised',) : 11
('coleman',) : 11
('airliners',) : 11
('canyons',) : 11
('salinities',) : 11
('inactive',) : 11
('ambiguous',) : 11
('convoys',) : 11
('transatlantic',) : 11
('gravel',) : 11
('overfished',) : 11
('tuvalu',) : 11
('torres',) : 11
('sulu',) : 11
('tokelau',) : 11
('suez',) : 11
('brahmaputra',) : 11
('patrols',) : 11
('karachi',) : 11
('epsilon',) : 11
('alberto',) : 11
('solvent',) : 11
('154',) : 11
('beverages',) : 11
('accessibility',) : 11
('scarcity',) : 11
('purification',) : 11
('soup',) : 11
('mismanagement',) : 11
('cambodia',) : 11
('unconfirmed',) : 11
('titans',) : 11
('660',) : 11
('vanished',) : 11
('pluto',) : 11
('graphical',) : 11
('metering',) : 11
('recommend',) : 11
('1718',) : 11
('1836',) : 11
('altogether',) : 11
('englanders',) : 11
('skater',) : 11
('analogy',) : 11
('earth–moon',) : 11
('identities',) : 11
('1/2',) : 11
('proves',) : 11
('facilitated',) : 11
('cocos',) : 11
('woodlands',) : 11
('193',) : 11
('abu',) : 11
('arguments',) : 11
('fourteenth',) : 11
('520',) : 11
('positioning',) : 11
('soaring',) : 11
('bent',) : 11
('bending',) : 11
('flyer',) : 11
('0.',) : 11
('18.3',) : 11
('arrows',) : 11
('465',) : 11
('bullet',) : 11
('mercator',) : 11
('limitation',) : 11
('exodus',) : 11
('specifies',) : 11
('ellipsoids',) : 11
('meridians',) : 11
('mesh',) : 11
('1775',) : 11
('matched',) : 11
('notices',) : 11
('hoisted',) : 11
('heightened',) : 11
('3-minute',) : 11
('penetrated',) : 11
('amelia',) : 11
('10°s',) : 11
('edited',) : 11
('rapporteur',) : 11
('inappropriate',) : 11
('publicity',) : 11
('olive',) : 11
('a2',) : 11
('gallon',) : 11
('goddard',) : 11
('mitsubishi',) : 11
('advising',) : 11
('toyota',) : 11
('contours',) : 11
('1817',) : 11
('1834',) : 11
('breadth',) : 11
('rectangular',) : 11
('glasgow',) : 11
('ordering',) : 11
('transparency',) : 11
('compressor',) : 11
('sox',) : 11
('launchers',) : 11
('battlefield',) : 11
('expired',) : 11
('clerk',) : 11
('alcoholic',) : 11
('kj/kg',) : 11
('founders',) : 11
('wikipedia',) : 11
('comparative',) : 11
('registers',) : 11
('work–energy',) : 11
('isolate',) : 11
('lid',) : 11
('challenging',) : 11
('grijalva',) : 11
('alvarado',) : 11
('6.0',) : 11
('constituting',) : 11
('1976.',) : 11
('cement',) : 11
('eddie',) : 11
('6:00',) : 11
('paragraph',) : 11
('cst',) : 11
('veered',) : 11
('qatar',) : 11
('cow',) : 11
('non-governmental',) : 11
('bobby',) : 11
('seventeenth',) : 11
('31,000',) : 11
('inundating',) : 11
('livingston',) : 11
('high-end',) : 11
('tape',) : 11
('advises',) : 11
('executives',) : 11
('memoirs',) : 11
('trademark',) : 11
('soi',) : 11
('prizes',) : 11
('unep',) : 11
('dependencies',) : 11
('secretaries',) : 11
('drafting',) : 11
('defendant',) : 11
('disenfranchisement',) : 11
('undertaking',) : 11
('three-year',) : 11
('mario',) : 11
('unitary',) : 11
('rivalries',) : 11
('lobbying',) : 11
('regain',) : 11
('appoints',) : 11
('28th',) : 11
('crossroads',) : 11
('practitioners',) : 11
('famed',) : 11
('surnames',) : 11
('norte',) : 11
('fantasy',) : 11
('domestically',) : 11
('backbone',) : 11
('rebellions',) : 11
('estado',) : 11
('infamous',) : 11
('intervened',) : 11
('mergers',) : 11
('competitiveness',) : 11
('entrepreneurs',) : 11
('computerized',) : 11
('irreparable',) : 11
('1920.',) : 11
('hilary',) : 11
('irwin',) : 11
('970',) : 11
('aletta',) : 11
('cindy',) : 11
('whitney',) : 11
('bonaire',) : 11
('13.7',) : 11
('2.25',) : 11
('690',) : 11
('irving',) : 11
('crushed',) : 11
('castro',) : 11
('stanford',) : 11
('propellers',) : 11
('feasibility',) : 11
('hart',) : 11
('niche',) : 11
('embarked',) : 11
('talent',) : 11
('coliseum',) : 11
('anthem',) : 11
('specializes',) : 11
('co.',) : 11
('catherine',) : 11
('showcases',) : 11
('cab',) : 11
('teen',) : 11
('classics',) : 11
('holocaust',) : 11
('spokesperson',) : 11
('13.2',) : 11
('levies',) : 11
('promotional',) : 11
('mercer',) : 11
('moderated',) : 11
('drown',) : 11
('reopen',) : 11
('recurrence',) : 11
('sedimentation',) : 11
('moraines',) : 11
('donating',) : 11
('brønsted-lowry',) : 11
('carboxylic',) : 11
('pharmaceutical',) : 11
('alerted',) : 11
('penny',) : 11
('diffraction',) : 11
('blind',) : 11
('accepting',) : 11
('wards',) : 11
('accomplish',) : 11
('8.9',) : 11
('hungarian',) : 11
('capsules',) : 11
('rand',) : 11
('guangxi',) : 11
('soulik',) : 11
('drums',) : 11
('rhythms',) : 11
('numerals',) : 11
('kazakh',) : 11
('vernacular',) : 11
('nationality',) : 11
('rohingya',) : 11
('hellenistic',) : 11
('scholar',) : 11
('suffixes',) : 11
('syllable',) : 11
('devanagari',) : 11
('anger',) : 11
('lyric',) : 11
('leto',) : 11
('strabo',) : 11
('monkey',) : 11
('tale',) : 11
('retrieve',) : 11
('hymns',) : 11
('victorious',) : 11
('ian',) : 11
('rex',) : 11
('helen',) : 11
('columnist',) : 11
('galician-portuguese',) : 11
('omitted',) : 11
('yue',) : 11
('authorizing',) : 11
('enemies',) : 11
('adrian',) : 11
('barbecue',) : 11
('spun',) : 11
('castillo',) : 11
('on-line',) : 11
('lawyers',) : 11
('forever',) : 11
('ingleby',) : 11
('sino-japanese',) : 11
('mid-to-late',) : 11
('superiority',) : 11
('italians',) : 11
('contacted',) : 11
('1935.',) : 11
('forge',) : 11
('167',) : 11
('affirmed',) : 11
('140,000',) : 11
('award-winning',) : 11
('culinary',) : 11
('eustatius',) : 11
('merchandise',) : 11
('stacked',) : 11
('wasteland',) : 11
('mississippians',) : 11
('steamboats',) : 11
('disenfranchised',) : 11
('cajun',) : 11
('caldwell',) : 11
('ulysses',) : 11
('stricter',) : 11
('elects',) : 11
('terminated',) : 11
('hoboken',) : 11
('electrocution',) : 11
('cove',) : 11
('brevard',) : 11
('commodore',) : 11
('buzzards',) : 11
('plc',) : 11
('edwin',) : 11
('salina',) : 11
('16.9',) : 11
('lightly',) : 11
('164',) : 11
('olmec',) : 11
('cristóbal',) : 11
('1663',) : 11
('freedoms',) : 11
('sixth-largest',) : 11
('alumnus',) : 11
('vendors',) : 11
('marlin',) : 11
('yucatan',) : 11
('consolidate',) : 11
('inscribed',) : 11
('flavored',) : 11
('quarry',) : 11
('1664',) : 11
('supermarkets',) : 11
('nino',) : 11
('roc',) : 11
('0.75',) : 11
('pawtucket',) : 11
('seth',) : 11
('overwash',) : 11
('2013–14',) : 11
('applicants',) : 11
('cap-haïtien',) : 11
('greene',) : 11
('multi-purpose',) : 11
('δ13c',) : 11
('headwaters',) : 11
('zebra',) : 11
('spm',) : 11
('wgi',) : 11
('1984.',) : 11
('oar',) : 11
('compatibility',) : 11
('paperback',) : 11
('yacht',) : 11
('montauk',) : 11
('finale',) : 11
('neuse',) : 11
("'d",) : 11
('pre-season',) : 11
('murdoch',) : 11
('myer',) : 11
('1966.',) : 11
('medline',) : 11
('seneca',) : 11
('45th',) : 11
('bluegrass',) : 11
('tufte',) : 11
('refurbished',) : 11
('shoulder',) : 11
